54463511,392
54463511,392
54462688,203
58991624,840
58991620,840
58991625,840
48546400,643
58991623,840
60368900,840
45938300,214
51546093,840
58991625,840
51970400,600
54463511,392
58991625,840
51560100,840
48546400,643
58991621,840
58991623,840
60368900,840
48963900,840
58991624,840
58991617,840
60368900,840
58991624,840
55020900,724
58991623,840
48963900,840
48963900,840
51546473,392
54463511,392
60368900,840
54456878,442
60368900,840
58991621,840
54463517,250
51546096,360
51551398,840
48546400,643
58991620,840
58991623,840
48963900,840
58991625,840
51270705,840
54550521,784
51270703,840
58991616,840
58991622,840
40960000,840
48920200,840
51589400,643
58991619,840
58991624,840
58991622,840
48920200,840
54462688,203
51970400,600
60368900,840
52532011,578
60368900,840
58991623,840
52625538,840
54497216,380
51551398,840
51560100,840
58991624,840
52532011,578
51546425,840
51270704,840
55020900,724
47123300,566
48963900,840
51546913,031
55027210,702
54593189,124
52742500,724
54778100,170
60368900,840
58991621,840
51270702,840
51546300,840
58991625,840
40928000,840
48920200,840
58991619,840
58991622,840
54463511,392
60871098,840
58991622,840
55020900,724
51546300,840
60368900,840
51546425,840
51264623,840
52742500,724
51547025,498
58991625,840
54703638,422
51551398,840
51270704,840
58991621,840
51270703,840
58991622,840
42658692,410
51546425,840
51546300,840
53099400,643
51546425,840
58991625,840
58991624,840
48546400,643
51264625,840
60368900,840
43456200,152
48963900,840
55309600,840
58991620,840
51560100,840
58991625,840
58991623,840
58991624,840
51270702,840
58991623,840
51551398,840
52143776,804
41218700,840
55020900,724
58991625,840
51551398,840
58991624,840
51268200,840
51268200,840
48963900,840
51270703,840
47633100,036
52142290,392
60368900,840
58991624,840
58991625,840
54463511,392
48976600,840
58991624,840
41740000,688
48963900,840
51270773,840
54593189,124
52483103,280
48963900,840
58991622,840
58991622,840
51270704,840
58991619,840
58991624,840
55027210,702
58991620,840
58991622,840
55020900,724
58991619,840
58991619,840
60368900,840
51546470,840
58991619,840
48920200,840
58991623,840
52571802,392
58991620,840
54593189,124
51270703,840
54593189,124
58991624,840
40168400,116
48546400,643
51589400,643
58991619,840
51609600,028
51551398,840
58991622,840
58991624,840
54593189,124
51270703,840
58991624,840
60871007,840
54593189,124
51546314,608
58991623,840
58991625,840
54699700,643
54699700,643
48963900,840
58991620,840
58991623,840
51546300,840
51589400,643
41740000,688
51560100,840
48413200,512
52483103,280
40639900,170
58991622,840
52207331,840
53195414,250
53195414,840
53195414,250
53195414,250
58991623,840
41740000,688
51546314,608
60368900,840
58991621,840
51589400,643
60368900,840
51546300,840
58991624,840
52207300,300
