Bin|ContryCode|Scheme|Type|CountryNumber|CountryName|BankName
58991620|840|mastercard|debit|840|United States of America|NAO FORNECIDO
51551398|840|mastercard|NAO FORNECIDO|840|United States of America|ORCHARD BANK (HSBC GROUP)
52142445|188|mastercard|credit|076|Brazil|CHASE MANHATTAN BANK USA, N.A.
58991619|840|mastercard|debit|840|United States of America|NAO FORNECIDO
54469176|498|mastercard|credit|076|Brazil|NYCE PAYMENTS NETWORK, LLC
52143776|804|mastercard|credit|076|Brazil|M AND I (MARSHALL AND ILSLEY) BANK
54593189|124|mastercard|credit|076|Brazil|ZIP NETWORK
47123300|566|visa|debit|076|Brazil|NAO FORNECIDO
52142290|392|mastercard|credit|076|Brazil|M AND I (MARSHALL AND ILSLEY) BANK
52207331|840|mastercard|credit|076|Brazil|BANCO DE BRASILIA, S.A.
58991616|840|mastercard|debit|840|United States of America|NAO FORNECIDO
51546913|031|mastercard|credit|840|United States of America|LASALLE BANK, N.A.
58991618|840|mastercard|debit|840|United States of America|NAO FORNECIDO
58991617|840|mastercard|debit|840|United States of America|NAO FORNECIDO
54438851|392|mastercard|credit|076|Brazil|HSBC BANK USA, N.A.
54497216|380|mastercard|credit|076|Brazil|M AND I (MARSHALL AND ILSLEY) BANK
